age,juv_fel_count,decile_score,juv_misd_count,juv_other_count,v_decile_score,priors_count,sex.Female,two_year_recid,race.African.American,race.Asian,race.Caucasian,race.Hispanic,race.Native.American,c_jail_in,c_jail_out,c_offense_date,screening_date,in_custody,out_custody
22,0,8,0,0,6,0,0,0,0,0,1,0,0,0.786425955888615,0.791365068551477,0.786425955888615,0.786511113003491,0.792727582389509,0.794515881801925
26,0,4,0,0,3,1,1,1,1,0,0,0,0,0.808737119986375,0.808907434216129,0.808737119986375,0.808822277101252,0.809759005364898,0.814698118027761
27,0,7,0,0,8,1,0,1,0,0,1,0,0,0.826875585455165,0.828493570637827,0.826790428340288,0.830537341394874,0.859746231797667,0.871412756535809
20,0,5,0,0,8,0,0,1,0,0,0,0,0,0.805671463850805,0.805756620965682,0.805671463850805,0.805756620965682,0.815890317636038,0.851911777228987
36,0,7,0,0,6,9,0,1,1,0,0,0,0,0.823469300860087,0.823809929319595,0.82338414374521,0.823469300860087,0.823469300860087,0.823809929319595
26,0,8,0,0,4,7,0,1,0,0,1,0,0,0.783275142638167,0.783275142638167,0.78318998552329,0.783275142638167,0.820659116069148,0.821510687217917
20,0,7,0,0,8,0,1,0,0,0,1,0,0,0.809248062675637,0.809333219790514,0.809248062675637,0.809333219790514,0.809248062675637,0.809333219790514
54,0,1,0,0,1,0,1,0,0,0,1,0,0,0.791194754321724,0.791194754321724,0.791109597206847,0.791194754321724,0.791194754321724,0.791194754321724
44,0,1,0,0,1,0,1,0,0,0,0,1,0,0.801839393681342,0.801924550796219,0.801839393681342,0.802009707911096,0.801839393681342,0.801924550796219
39,0,1,0,0,1,0,1,1,0,0,1,0,0,0.80328706463425,0.803457378864004,0.80328706463425,0.803372221749127,0.80328706463425,0.803457378864004
24,0,6,1,2,6,8,0,1,0,0,1,0,0,0.790768968747339,0.791790854125862,0.790854125862216,0.790854125862216,0.790768968747339,0.791790854125862
30,0,4,0,0,2,0,0,0,0,0,1,0,0,0.802690964830112,0.803201907519373,0.802690964830112,0.802776121944988,0.845099208038832,0.847398450140509
39,0,4,0,0,3,1,1,0,0,0,1,0,0,0.787022055692753,0.796133866984587,0.787022055692753,0.78710721280763,0.820488801839394,0.820914587413778
43,0,1,0,0,1,1,0,0,0,0,1,0,0,0.799029208890403,0.79911436600528,0.799029208890403,0.801583922336711,0.799029208890403,0.79911436600528
38,0,4,0,0,3,5,0,1,0,0,1,0,0,0.783530613982798,0.783786085327429,0.783530613982798,0.783615771097675,0.788299412415907,0.788384569530784
33,0,5,0,0,2,5,0,1,1,0,0,0,0,0.809588691135144,0.809588691135144,0.809503534020267,0.809588691135144,0.809588691135144,0.809588691135144
37,0,2,0,0,1,3,0,0,1,0,0,0,0,0.809673848250021,0.809759005364898,0.809673848250021,0.809673848250021,0.81835987396747,0.818955973771609
42,0,2,0,0,2,1,0,1,0,0,1,0,0,0.788640040875415,0.788725197990292,0.788554883760538,0.788640040875415,0.788640040875415,0.788725197990292
41,0,9,1,0,7,10,0,1,1,0,0,0,0,0.803457378864004,0.818445031082347,0.803457378864004,0.803457378864004,0.827727156603934,0.831218598313889
33,0,8,12,2,5,28,0,1,1,0,0,0,0,0.814187175338499,0.814357489568253,0.814187175338499,0.814272332453376,0.821340372988163,0.82142553010304
31,0,7,0,0,8,1,0,0,1,0,0,0,0,0.806608192114451,0.806693349229328,0.806608192114451,0.806693349229328,0.806608192114451,0.806693349229328
27,0,9,0,0,4,3,0,1,1,0,0,0,0,0.840415566720599,0.840500723835476,0.840415566720599,0.840500723835476,0.840415566720599,0.840500723835476
52,0,9,0,0,6,3,0,0,0,0,1,0,0,0.799965937154049,0.800051094268926,0.799965937154049,0.800136251383803,0.799965937154049,0.800051094268926
64,0,1,0,0,1,2,1,0,0,0,1,0,0,0.816997360129439,0.816997360129439,0.816912203014562,0.820999744528655,0.816997360129439,0.816997360129439
22,0,6,0,0,8,4,0,1,0,0,1,0,0,0.829345141786596,0.830537341394874,0.829345141786596,0.832410797922166,0.844247636890062,0.845865622072724
42,0,3,0,0,1,6,0,0,0,0,1,0,0,0.804053478668143,0.804053478668143,0.803968321553266,0.80439410712765,0.839138209997445,0.846461721876863
30,0,2,0,0,2,1,0,0,0,0,1,0,0,0.808055863067359,0.808396491526867,0.808055863067359,0.809759005364898,0.808055863067359,0.808396491526867
28,0,2,0,0,3,0,0,1,0,0,1,0,0,0.843310908626416,0.843396065741293,0.843310908626416,0.843396065741293,0.84850549263391,0.84850549263391
24,0,2,0,0,3,0,1,0,1,0,0,0,0,0.816486417440177,0.816656731669931,0.816486417440177,0.816571574555054,0.816486417440177,0.816656731669931
30,0,5,0,0,5,4,1,1,0,0,0,1,0,0.81835987396747,0.81835987396747,0.818274716852593,0.821340372988163,0.852933662607511,0.873456527292855
31,0,3,0,0,3,2,0,1,0,0,1,0,0,0.802009707911096,0.80328706463425,0.802009707911096,0.803372221749127,0.802009707911096,0.80328706463425
31,0,2,0,0,3,1,0,0,1,0,0,0,0,0.783615771097675,0.783700928212552,0.783615771097675,0.783700928212552,0.783615771097675,0.783700928212552
59,0,2,0,0,1,1,0,1,0,0,1,0,0,0.790002554713446,0.790087711828323,0.790002554713446,0.790087711828323,0.818189559737716,0.822873201055948
43,0,1,0,0,1,0,1,0,0,0,1,0,0,0.793664310653155,0.793749467768032,0.793664310653155,0.793664310653155,0.793664310653155,0.793749467768032
33,0,9,0,0,9,7,1,1,1,0,0,0,0,0.783104828408414,0.785318913395214,0.783104828408414,0.78318998552329,0.806608192114451,0.808226177297113
27,0,9,0,0,8,2,0,1,1,0,0,0,0,0.791194754321724,0.7912799114366,0.791194754321724,0.7912799114366,0.792812739504386,0.792812739504386
61,0,1,0,0,1,1,1,1,1,0,0,0,0,0.79213148258537,0.792216639700247,0.79213148258537,0.792216639700247,0.79213148258537,0.792216639700247
52,0,7,0,0,6,13,0,1,0,0,0,0,0,0.793664310653155,0.793834624882909,0.793664310653155,0.793749467768032,0.796815123903602,0.796815123903602
26,0,4,0,0,4,2,1,1,1,0,0,0,0,0.788043941071277,0.788129098186153,0.788043941071277,0.788129098186153,0.788043941071277,0.788129098186153
55,0,1,0,0,1,3,0,0,1,0,0,0,0,0.793068210849016,0.793153367963893,0.792983053734139,0.797411223707741,0.793068210849016,0.793153367963893
30,0,7,0,0,4,3,1,1,0,0,1,0,0,0.792642425274632,0.837775696159414,0.792557268159755,0.792642425274632,0.792642425274632,0.837775696159414
30,0,7,0,0,8,1,0,0,1,0,0,0,0,0.787447841267138,0.793408839308524,0.787362684152261,0.787447841267138,0.818700502426978,0.818955973771609
48,0,2,0,0,1,2,0,0,0,0,1,0,0,0.805075364046666,0.805160521161543,0.805075364046666,0.805160521161543,0.805075364046666,0.805160521161543
46,0,1,0,0,1,6,0,1,0,0,1,0,0,0.787703312611769,0.789661926253938,0.78318998552329,0.785829856084476,0.787703312611769,0.789661926253938
31,0,5,0,0,4,0,0,0,0,0,1,0,0,0.791620539896108,0.791790854125862,0.791535382781231,0.791620539896108,0.852848505492634,0.857106361236481
23,0,3,0,0,5,0,0,0,0,0,0,1,0,0.803627693093758,0.803627693093758,0.803542535978881,0.803712850208635,0.803627693093758,0.803627693093758
54,0,1,0,0,1,2,0,0,0,0,0,1,0,0.802690964830112,0.818700502426978,0.802690964830112,0.802776121944988,0.802690964830112,0.818700502426978
58,0,2,0,0,1,0,0,0,0,0,0,1,0,0.788384569530784,0.788469726645661,0.788384569530784,0.788469726645661,0.814187175338499,0.820744273184025
78,0,1,0,0,1,1,0,1,0,0,1,0,0,0.83564676828749,0.835731925402367,0.83564676828749,0.835731925402367,0.83564676828749,0.835731925402367
56,0,1,0,0,1,0,0,0,0,0,1,0,0,0.818530188197224,0.818615345312101,0.818530188197224,0.818615345312101,0.818530188197224,0.818615345312101
38,2,8,2,1,5,22,0,1,1,0,0,0,0,0.831899855232905,0.834795197138721,0.831814698118028,0.834795197138721,0.865877544068807,0.868261943285361
22,0,5,0,0,5,1,0,1,1,0,0,0,0,0.823043515285702,0.823043515285702,0.822958358170825,0.823043515285702,0.823043515285702,0.823043515285702
23,0,2,0,0,4,0,0,1,1,0,0,0,0,0.813761389764115,0.813846546878992,0.813761389764115,0.813846546878992,0.828834199097335,0.829600613131227
57,0,1,0,0,1,1,0,0,0,0,0,1,0,0.807630077492975,0.809333219790514,0.807630077492975,0.807630077492975,0.807630077492975,0.809333219790514
38,0,5,0,0,2,2,1,1,0,0,1,0,0,0.795537767180448,0.795622924295325,0.795537767180448,0.798518266201141,0.811717619007068,0.812398875926084
39,0,4,0,0,4,0,0,1,0,0,1,0,0,0.818530188197224,0.818615345312101,0.818530188197224,0.818530188197224,0.818530188197224,0.818615345312101
45,0,3,0,0,4,2,0,0,0,0,1,0,0,0.784893127820829,0.815464532061654,0.784893127820829,0.784978284935706,0.784893127820829,0.815464532061654
23,0,4,0,0,4,1,1,0,1,0,0,0,0,0.802009707911096,0.802094865025973,0.802009707911096,0.802094865025973,0.802009707911096,0.802094865025973
36,0,3,0,0,1,2,0,1,0,0,0,0,0,0.815634846291408,0.815890317636038,0.815634846291408,0.815720003406285,0.866643958102699,0.873201055948225
50,0,1,0,0,1,1,0,0,0,0,1,0,0,0.803968321553266,0.80413863578302,0.803968321553266,0.804308950012774,0.879162053989611,0.879247211104488
44,0,4,0,0,4,4,0,0,0,0,1,0,0,0.782764199948906,0.782849357063783,0.782764199948906,0.782764199948906,0.782764199948906,0.782849357063783
26,0,10,0,0,8,2,0,1,1,0,0,0,0,0.791365068551477,0.791450225666354,0.791365068551477,0.791450225666354,0.864004087541514,0.865536915609299
27,0,2,0,0,3,0,0,0,1,0,0,0,0,0.789406454909308,0.789661926253938,0.789406454909308,0.789491612024185,0.789406454909308,0.789661926253938
28,0,8,0,0,6,0,1,0,1,0,0,0,0,0.807970705952482,0.810440262283914,0.807885548837605,0.807970705952482,0.807970705952482,0.810440262283914
28,0,9,0,0,6,7,1,1,0,0,1,0,0,0.806267563654943,0.80635272076982,0.806267563654943,0.80635272076982,0.87192369922507,1
28,0,5,0,0,4,2,0,0,1,0,0,0,0,0.808055863067359,0.808141020182236,0.625308694541429,0.808141020182236,0.808055863067359,0.808141020182236
51,0,1,0,0,1,0,1,1,0,0,1,0,0,0.814357489568253,0.81444264668313,0.814357489568253,0.81444264668313,0.828834199097335,0.83453972579409
41,0,6,0,0,3,5,1,0,1,0,0,0,0,0.808566805756621,0.808566805756621,0.808481648641744,0.808566805756621,0.808566805756621,0.808566805756621
27,0,10,0,0,9,11,0,1,1,0,0,0,0,0.791876011240739,0.810866047858299,0.791876011240739,0.791961168355616,0.791876011240739,0.810866047858299
33,0,4,0,0,2,4,0,1,0,0,0,0,0,0.823554457974964,0.823724772204718,0.823469300860087,0.823554457974964,0.823554457974964,0.823724772204718
52,0,1,0,0,1,0,0,0,0,0,1,0,0,0.793749467768032,0.793834624882909,0.793749467768032,0.793834624882909,0.793749467768032,0.793834624882909
43,0,4,0,0,1,13,0,1,0,0,1,0,0,0.786596270118368,0.790939282977093,0.786511113003491,0.786596270118368,0.800306565613557,0.819892702035255
30,0,9,0,2,4,11,0,1,1,0,0,0,0,0.831814698118028,0.831899855232905,0.831814698118028,0.831899855232905,0.842033551903262,0.842544494592523
28,0,5,0,0,3,1,0,0,0,0,1,0,0,0.80524567827642,0.805756620965682,0.80524567827642,0.80524567827642,0.80524567827642,0.805756620965682
22,0,4,0,0,6,0,0,0,1,0,0,0,0,0.786681427233245,0.786766584348122,0.786681427233245,0.786766584348122,0.786681427233245,0.786766584348122
30,0,2,0,0,2,4,0,0,1,0,0,0,0,0.787703312611769,0.787703312611769,0.787703312611769,0.787703312611769,0.787703312611769,0.787703312611769
32,0,9,1,0,8,14,0,0,1,0,0,0,0,0.812058247466576,0.812143404581453,0.812058247466576,0.812143404581453,0.812058247466576,0.812143404581453
25,0,3,0,0,4,0,0,0,1,0,0,0,0,0.803457378864004,0.803457378864004,0.803372221749127,0.803457378864004,0.803457378864004,0.803457378864004
22,0,8,0,1,7,1,0,1,0,0,1,0,0,0.784893127820829,0.785404070510091,0.784893127820829,0.784893127820829,0.830111555820489,0.830707655624627
37,0,1,0,0,1,0,1,0,0,0,0,0,0,0.81137699054756,0.811462147662437,0.811291833432683,0.811462147662437,0.81137699054756,0.811462147662437
40,0,2,0,0,1,3,1,0,0,0,0,0,0,0.807374606148344,0.807459763263221,0.807374606148344,0.807459763263221,0.807374606148344,0.807459763263221
30,0,2,0,0,2,4,0,0,0,0,1,0,0,0.805075364046666,0.810355105169037,0.805075364046666,0.816997360129439,0.805075364046666,0.810355105169037
24,0,8,0,0,7,0,0,0,0,0,0,1,0,0.784978284935706,0.785063442050583,0.784978284935706,0.785233756280337,0.784978284935706,0.785063442050583
22,0,7,0,1,6,0,0,0,0,0,0,1,0,0.791620539896108,0.791790854125862,0.791620539896108,0.791620539896108,0.797240909477987,0.797837009282126
52,0,1,0,0,1,0,1,0,1,0,0,0,0,0.800391722728434,0.800476879843311,0.800391722728434,0.800476879843311,0.800391722728434,0.800476879843311
23,0,4,0,0,4,0,1,1,1,0,0,0,0,0.83147406965852,0.831814698118028,0.83147406965852,0.831559226773397,0.83147406965852,0.831814698118028
48,0,2,0,0,3,0,1,0,1,0,0,0,0,0.80916290556076,0.809333219790514,0.80916290556076,0.809248062675637,0.80916290556076,0.809333219790514
27,0,6,0,0,7,0,0,1,0,0,1,0,0,0.790513497402708,0.790683811632462,0.790513497402708,0.790598654517585,0.809333219790514,0.829941241590735
44,0,7,0,0,3,24,0,0,1,0,0,0,0,0.795367452950694,0.805415992506174,0.78821425530103,0.790854125862216,0.795367452950694,0.805415992506174
43,0,1,0,0,1,0,0,0,1,0,0,0,0,0.790258026058077,0.793749467768032,0.790258026058077,0.790343183172954,0.790258026058077,0.793749467768032
28,0,4,0,0,3,3,0,1,1,0,0,0,0,0.853359448181896,0.853614919526526,0.819381759345993,0.827897470833688,0.853359448181896,0.853614919526526
70,0,1,0,0,1,1,0,0,0,0,1,0,0,0.790343183172954,0.791450225666354,0.790343183172954,0.791450225666354,0.790343183172954,0.791450225666354
54,0,2,0,0,1,6,0,1,0,0,1,0,0,0.806182406540066,0.806267563654943,0.801413608106957,0.828834199097335,0.864089244656391,0.864259558886145
21,0,9,0,0,7,0,0,1,1,0,0,0,0,0.787532998382015,0.787618155496892,0.787532998382015,0.787618155496892,0.811291833432683,0.81137699054756
26,0,8,0,0,6,1,0,1,1,0,0,0,0,0.829941241590735,0.830111555820489,0.829941241590735,0.830026398705612,0.865366601379545,0.866303329643192
38,0,1,0,0,1,3,0,1,0,0,0,1,0,0.797922166397002,0.798092480626756,0.788980669334923,0.795963552754833,0.797922166397002,0.798092480626756
34,0,4,0,0,4,5,0,0,0,0,1,0,0,0.814953589372392,0.815038746487269,0.814953589372392,0.815038746487269,0.814953589372392,0.815038746487269
19,0,5,0,0,7,1,0,1,1,0,0,0,0,0.838627267308184,0.842714808822277,0.838627267308184,0.842714808822277,0.882908967044197,0.883760538192966
34,0,4,0,0,4,5,0,0,1,0,0,0,0,0.810951204973176,0.811036362088052,0.810951204973176,0.811036362088052,0.810951204973176,0.811036362088052
34,0,4,0,0,2,5,0,1,1,0,0,0,0,0.784807970705952,0.785063442050583,0.784807970705952,0.784893127820829,0.784807970705952,0.785063442050583
39,0,3,0,0,1,6,0,1,1,0,0,0,0,0.808481648641744,0.808737119986375,0.808481648641744,0.808566805756621,0.808481648641744,0.808737119986375
58,0,3,0,0,1,2,0,0,0,0,1,0,0,0.786766584348122,0.786936898577876,0.786766584348122,0.786851741462999,0.786766584348122,0.786936898577876
23,0,8,0,1,5,4,0,1,1,0,0,0,0,0.81026994805416,0.811206676317806,0.81026994805416,0.811206676317806,0.832155326577536,0.832495955037043
62,0,1,0,0,1,0,0,0,0,0,1,0,0,0.782679042834029,0.782849357063783,0.782679042834029,0.782679042834029,0.820488801839394,0.820573958954271
27,1,8,0,1,10,4,0,1,1,0,0,0,0,0.8175083028187,0.817593459933577,0.731755088137614,0.791961168355616,0.8175083028187,0.817593459933577
37,0,3,0,0,1,5,0,0,0,0,1,0,0,0.810780890743422,0.811717619007068,0.810780890743422,0.810866047858299,0.810780890743422,0.811717619007068
43,0,2,0,0,1,2,0,1,0,0,0,0,0,0.801583922336711,0.802265179255727,0.801583922336711,0.801669079451588,0.801583922336711,0.802265179255727
32,0,1,0,0,1,5,1,0,1,0,0,0,0,0.810780890743422,0.810780890743422,0.810610576513668,0.810780890743422,0.810780890743422,0.810780890743422
24,0,10,1,0,10,9,0,1,0,0,0,0,0,0.788554883760538,0.788980669334923,0.788554883760538,0.788640040875415,0.788554883760538,0.788980669334923
20,0,10,0,0,9,0,0,1,1,0,0,0,0,0.832921740611428,0.833006897726305,0.832921740611428,0.833006897726305,0.835561611172614,0.835902239632121
21,0,5,1,0,6,3,0,0,0,0,0,1,0,0.798603423316018,0.800476879843311,0.798603423316018,0.800476879843311,0.843140594396662,0.845184365153709
36,0,7,0,0,5,0,1,0,1,0,0,0,0,0.792897896619263,0.793919781997786,0.792897896619263,0.792983053734139,0.792897896619263,0.793919781997786
25,0,4,0,0,4,2,1,1,0,0,1,0,0,0.783019671293537,0.783104828408414,0.783019671293537,0.78318998552329,0.787788469726646,0.788554883760538
21,0,8,0,0,7,0,1,1,1,0,0,0,0,0.791961168355616,0.792046325470493,0.791961168355616,0.792046325470493,0.815123903602146,0.815123903602146
30,0,6,0,0,2,0,1,0,0,0,1,0,0,0.789150983564677,0.789491612024185,0.7890658264498,0.789150983564677,0.789150983564677,0.789491612024185
51,0,1,0,0,1,1,0,0,0,0,0,1,0,0.812909818615345,0.812994975730222,0.812824661500468,0.812994975730222,0.812909818615345,0.812994975730222
23,0,6,0,1,5,1,0,0,1,0,0,0,0,0.815975474750915,0.816060631865792,0.815890317636038,0.815975474750915,0.815975474750915,0.816060631865792
19,0,10,2,0,9,2,0,1,1,0,0,0,0,0.835050668483352,0.835135825598229,0.835050668483352,0.835135825598229,0.842203866133015,0.842289023247892
21,0,6,0,2,8,0,1,0,0,0,1,0,0,0.786681427233245,0.786681427233245,0.786681427233245,0.786681427233245,0.786681427233245,0.786681427233245
69,0,1,0,0,1,0,0,0,0,0,1,0,0,0.784807970705952,0.784893127820829,0.784807970705952,0.784893127820829,0.784807970705952,0.784893127820829
22,0,4,0,0,5,0,0,0,0,0,1,0,0,0.811291833432683,0.811291833432683,0.811206676317806,0.811462147662437,0.811291833432683,0.811291833432683
23,0,5,0,0,5,0,1,1,1,0,0,0,0,0.791876011240739,0.791961168355616,0.791876011240739,0.791961168355616,0.824661500468364,0.826620114110534
49,0,5,0,0,4,3,0,0,1,0,0,0,0,0.806778506344205,0.807119134803713,0.806693349229328,0.806778506344205,0.865451758494422,0.865877544068807
29,0,4,0,1,3,2,0,0,1,0,0,0,0,0.784722813591076,0.7890658264498,0.784722813591076,0.784807970705952,0.851741462999234,0.851826620114111
60,0,1,0,0,1,0,1,0,0,0,1,0,0,0.806608192114451,0.806693349229328,0.806608192114451,0.806693349229328,0.806608192114451,0.806693349229328
36,0,3,0,0,2,1,0,0,0,0,0,1,0,0.791790854125862,0.799880780039172,0.791705697010985,0.791790854125862,0.805415992506174,0.805415992506174
22,0,6,0,0,5,2,0,1,0,0,1,0,0,0.803627693093758,0.803712850208635,0.803627693093758,0.803712850208635,0.817167674359193,0.817337988588947
34,0,1,0,0,1,1,0,0,0,0,1,0,0,0.816316103210423,0.816316103210423,0.816316103210423,0.816316103210423,0.816316103210423,0.816316103210423
50,0,1,0,0,1,1,1,1,0,0,1,0,0,0.821595844332794,0.821681001447671,0.821595844332794,0.821681001447671,0.828919356212212,0.83062249850975
53,0,1,0,0,1,1,1,0,0,0,1,0,0,0.812484033040961,0.812569190155838,0.812484033040961,0.812569190155838,0.812484033040961,0.812569190155838
28,0,3,0,0,3,1,0,0,1,0,0,0,0,0.790087711828323,0.790258026058077,0.790087711828323,0.7901728689432,0.790087711828323,0.790258026058077
35,0,5,0,0,5,2,0,0,1,0,0,0,0,0.793749467768032,0.794175253342417,0.793749467768032,0.793834624882909,0.793749467768032,0.794175253342417
29,0,4,0,0,3,7,0,0,1,0,0,0,0,0.801583922336711,0.801669079451588,0.801583922336711,0.801669079451588,0.867495529251469,0.867836157710977
48,1,8,0,0,5,23,0,1,0,0,1,0,0,0.785574384739845,0.816316103210423,0.785574384739845,0.785659541854722,0.816316103210423,0.840160095375969
33,0,3,0,0,1,3,0,0,0,0,1,0,0,0.812569190155838,0.812569190155838,0.812484033040961,0.812569190155838,0.812569190155838,0.812569190155838
29,1,5,0,0,5,2,0,0,1,0,0,0,0,0.790258026058077,0.790428340287831,0.790258026058077,0.790343183172954,0.790258026058077,0.790428340287831
22,0,9,0,1,7,0,0,1,1,0,0,0,0,0.782338414374521,0.784126713786937,0.782338414374521,0.782338414374521,0.813250447074853,0.814187175338499
25,0,2,0,0,3,0,0,0,0,0,1,0,0,0.789576769139062,0.789576769139062,0.789491612024185,0.789576769139062,0.789576769139062,0.789576769139062
68,0,1,0,0,1,2,0,0,0,0,1,0,0,0.793408839308524,0.793493996423401,0.793408839308524,0.806182406540066,0.793408839308524,0.793493996423401
56,0,3,0,0,3,5,0,0,1,0,0,0,0,0.782508728604275,0.783530613982798,0.782508728604275,0.782593885719152,0.79604870986971,0.808226177297113
27,0,8,0,0,8,9,0,1,1,0,0,0,0,0.803201907519373,0.807630077492975,0.803201907519373,0.80328706463425,0.807970705952482,0.811632461892191
52,0,1,0,0,1,4,0,1,0,0,1,0,0,0.825938857191518,0.826534956995657,0.825938857191518,0.826024014306395,0.845865622072724,0.855232904709188
23,0,3,0,0,4,1,0,0,0,0,0,1,0,0.791961168355616,0.792386953930001,0.791961168355616,0.792386953930001,0.791961168355616,0.792386953930001
39,0,6,0,0,2,0,1,0,0,0,1,0,0,0.796644809673848,0.796729966788725,0.796644809673848,0.796815123903602,0.796644809673848,0.796729966788725
56,0,1,0,0,1,0,0,0,0,0,1,0,0,0.807033977688836,0.807119134803713,0.807033977688836,0.807119134803713,0.807033977688836,0.807119134803713
