age,decile1,decile3,fam_inc,lsat,ugpa,gender.female,race1.asian,race1.black,race1.hisp,race1.other,cluster.1,cluster.2,cluster.3,cluster.4,cluster.5,fulltime.1,has.passed.bar.exam
51,9,9,4,41,3.4,0,0,0,0,0,0,1,0,0,0,1,1
55,7,7,4,42,3.8,1,0,0,0,0,0,0,0,0,1,1,1
62,5,4,4,40,3.2,1,0,0,0,0,1,0,0,0,0,1,1
60,5,3,2,25,2.7,0,0,0,0,0,1,0,0,0,0,1,1
65,3,2,4,33,3.5,1,0,0,0,0,0,1,0,0,0,1,0
62,6,5,3,36,3.5,1,0,0,0,0,1,0,0,0,0,1,1
62,8,8,3,48,3.4,1,0,0,0,0,0,0,1,0,0,1,1
47,5,3,2,34.5,3,0,0,0,0,0,0,0,1,0,0,1,1
62,6,8,5,41,3.2,0,0,0,0,0,0,0,1,0,0,1,1
61,10,9,4,35.5,3.8,0,0,0,0,0,0,0,1,0,0,1,1
62,7,7,2,31,3.5,1,0,0,0,0,0,0,1,0,0,1,1
63,7,7,3,41,3.8,1,0,0,0,0,1,0,0,0,0,1,1
62,6,3,5,35.5,3.1,1,0,0,0,0,0,0,0,1,0,1,1
59,3,4,2,31,3.7,1,0,0,0,0,0,1,0,0,0,1,0
62,7,7,3,36,3.6,1,0,0,0,0,0,0,1,0,0,1,1
60,2,1,2,44,2.7,0,0,0,0,0,0,0,0,1,0,1,1
61,6,6,3,42,3.5,0,0,0,0,0,1,0,0,0,0,1,1
62,2,3,3,33,2.8,0,0,0,0,0,0,1,0,0,0,1,0
66,5,9,4,31,3.1,0,0,1,0,0,0,0,0,0,0,1,1
60,6,5,3,33,3.7,1,0,0,0,0,1,0,0,0,0,1,1
62,9,9,3,37,3.7,0,0,0,0,0,0,0,1,0,0,1,1
58,10,10,2,38,3.6,1,0,0,0,0,0,0,1,0,0,1,1
60,7,6,4,34,3.3,1,0,0,0,0,0,0,1,0,0,1,1
60,7,9,4,47,2.5,1,0,0,0,0,1,0,0,0,0,1,1
64,2,1,4,40,3.1,1,0,0,1,0,0,0,0,1,0,1,0
63,5,3,4,34,3.5,1,0,0,0,0,0,0,1,0,0,1,1
46,3,3,3,33,3.1,0,0,0,0,0,0,0,1,0,0,0,1
59,6,7,4,37,3.6,1,0,0,0,0,0,0,1,0,0,1,1
62,6,6,4,39,3.5,0,1,0,0,0,0,0,0,1,0,1,1
61,4,5,4,37,2.4,0,0,0,0,0,0,1,0,0,0,0,1
65,8,7,4,38,3.3,1,0,0,0,0,0,0,1,0,0,1,1
62,7,8,4,35,3.7,0,0,0,0,0,1,0,0,0,0,1,1
62,7,8,4,40,3.8,1,0,0,0,0,0,0,0,0,1,1,1
57,9,9,3,37,3.6,0,0,0,0,0,1,0,0,0,0,1,1
48,9,10,4,37,3.4,1,0,0,0,0,0,0,1,0,0,0,1
61,3,1,4,32.3,2.5,1,0,0,0,0,0,0,1,0,0,1,1
61,1,1,2,29,3.3,0,0,0,1,0,1,0,0,0,0,1,1
60,7,7,3,40,3.8,0,0,0,0,0,0,0,1,0,0,1,1
57,5,6,4,33,2.7,1,0,0,0,0,0,0,1,0,0,1,1
61,9,3,4,26,2.6,0,0,0,0,0,1,0,0,0,0,0,0
56,4,5,4,32,3.3,1,0,0,0,0,0,0,1,0,0,1,0
62,6,7,4,35.5,3.7,1,0,0,0,0,0,0,0,1,0,1,1
52,10,3,3,32,3.4,1,0,0,0,0,0,0,1,0,0,0,1
58,2,2,4,46,2.9,0,0,0,0,0,0,0,1,0,0,1,1
60,6,8,3,40,3,0,0,0,0,0,1,0,0,0,0,1,1
61,10,10,4,35,3.4,1,0,0,0,0,1,0,0,0,0,1,1
59,10,4,4,46,2.2,0,0,0,0,0,0,0,0,0,1,1,1
59,9,7,3,38,3,0,0,0,0,0,1,0,0,0,0,1,1
42,4,7,3,36,3.9,0,0,0,0,0,0,0,0,1,0,1,1
62,8,8,2,42,3.4,0,0,0,0,0,0,0,0,1,0,1,1
62,4,8,4,32,3.1,0,0,0,0,0,0,0,1,0,0,1,1
62,2,3,4,42,3.3,1,0,0,0,0,0,0,1,0,0,1,1
62,5,3,4,36,2.9,0,0,0,0,0,0,0,1,0,0,1,1
67,4,3,5,23,3.1,0,0,0,1,0,0,0,1,0,0,1,1
62,2,1,3,36,3,0,0,0,0,0,0,0,1,0,0,1,0
53,2,1,1,27,2.6,1,0,1,0,0,1,0,0,0,0,0,0
61,1,1,3,23,2.6,1,0,1,0,0,1,0,0,0,0,1,1
62,7,7,3,40,3.6,0,0,0,0,0,1,0,0,0,0,1,1
60,10,10,4,38,2.6,0,0,0,0,0,0,0,1,0,0,0,1
60,3,3,4,39.5,3.6,1,0,0,0,0,0,0,0,0,1,1,1
62,6,6,4,42,3.2,0,0,0,0,0,0,0,1,0,0,1,1
62,8,8,4,30,3.2,0,0,0,0,0,0,0,1,0,0,1,1
61,9,9,2,35,3.2,0,0,0,0,0,0,1,0,0,0,1,1
61,10,9,3,42,4,0,0,0,0,0,1,0,0,0,0,1,1
61,9,9,3,41,2.9,1,0,0,0,0,0,0,0,1,0,1,1
57,7,9,4,41,3.9,0,0,0,0,0,0,0,0,0,1,1,1
55,8,8,3,40,3.3,1,0,0,0,0,1,0,0,0,0,1,1
62,5,7,4,37,3.4,1,0,0,0,0,0,0,0,0,1,1,1
62,10,10,2,36,3.9,0,0,0,1,0,0,0,0,1,0,1,1
59,5,5,3,36,3.5,1,0,0,0,0,1,0,0,0,0,1,1
60,4,3,3,33,2.9,0,0,0,0,0,0,0,1,0,0,1,1
61,8,7,3,38,3.5,1,0,0,0,0,0,0,1,0,0,1,1
59,8,9,1,46,3.6,0,0,0,0,0,0,0,0,1,0,1,1
59,6,5,4,37,2.9,0,0,0,0,0,1,0,0,0,0,1,1
67,1,1,2,40,3.4,0,0,1,0,0,0,0,0,0,1,1,1
56,9,8,5,37,2.9,1,0,0,0,0,0,0,1,0,0,1,1
61,10,10,3,44,3.8,1,0,0,0,0,0,0,0,1,0,1,1
60,10,9,3,40,3.6,1,0,0,0,0,0,0,1,0,0,1,1
62,6,6,4,36,3.2,0,0,0,0,0,1,0,0,0,0,1,1
57,7,7,2,36,3.9,1,0,1,0,0,0,0,0,0,1,1,1
62,9,10,3,44,3.6,0,0,0,0,0,0,0,0,0,1,1,1
58,1,3,3,35,3.4,0,0,0,0,0,0,0,0,1,0,1,1
62,5,6,4,42,3.2,0,0,0,0,0,0,0,1,0,0,1,1
62,10,9,4,39.5,2.9,0,0,0,0,0,1,0,0,0,0,1,1
64,10,10,3,28,3.1,1,0,1,0,0,0,0,0,0,0,1,1
57,7,7,2,42,3.8,0,0,0,0,0,0,0,0,1,0,1,1
58,2,2,3,40,2.5,0,0,0,0,0,0,0,1,0,0,1,1
62,4,5,5,44,3.8,0,0,0,0,0,0,0,0,0,1,1,1
61,8,9,3,37,4,1,0,0,0,0,1,0,0,0,0,1,1
62,3,4,4,47,3.5,0,0,0,0,0,0,0,0,0,1,1,1
64,5,6,4,30.7,1.9,0,1,0,0,0,0,0,0,0,0,1,0
67,1,1,5,26,3,1,0,1,0,0,1,0,0,0,0,1,0
51,1,1,4,31.5,3.3,1,0,0,0,0,0,0,1,0,0,0,1
61,7,7,3,30,3.5,1,0,0,0,0,0,1,0,0,0,1,0
44,10,10,3,34,3.5,0,0,0,0,0,0,0,1,0,0,1,1
62,8,9,4,44,3.7,1,0,0,0,0,0,0,0,1,0,1,1
49,3,5,3,39,3.5,0,0,0,0,0,1,0,0,0,0,1,1
61,5,5,3,42,3.3,1,1,0,0,0,1,0,0,0,0,1,1
46,2,2,3,30,3.2,1,0,0,0,0,1,0,0,0,0,1,1
62,4,1,4,34,3,1,0,0,0,0,0,0,1,0,0,1,0
55,6,4,4,41,3.6,0,0,0,0,1,0,0,0,1,0,1,1
58,3,2,4,36.5,3.3,1,0,0,0,0,0,0,0,0,1,1,1
62,6,7,2,39,3.5,1,0,0,0,0,1,0,0,0,0,1,1
62,8,5,4,41,2.9,0,0,0,0,0,0,0,1,0,0,1,1
60,7,8,3,40,2.9,1,0,0,0,0,0,0,1,0,0,1,1
51,8,7,4,38,3.9,1,0,0,0,0,1,0,0,0,0,1,1
67,3,4,3,38,3.3,0,0,0,0,0,1,0,0,0,0,1,1
61,6,5,4,36,2.5,0,0,0,0,0,0,0,1,0,0,1,1
58,3,6,3,39,3.4,1,0,0,1,0,0,0,1,0,0,1,1
62,10,10,3,41,3.8,1,0,0,0,0,1,0,0,0,0,1,1
60,2,5,4,43,3.6,1,0,0,0,0,0,0,0,1,0,1,1
62,9,10,4,39,3.3,0,0,0,0,0,1,0,0,0,0,1,1
41,7,7,4,46,3.9,1,0,0,0,0,0,0,0,1,0,1,1
55,2,2,3,27,2.3,0,0,0,1,0,0,0,1,0,0,1,1
62,2,1,4,35,3,1,1,0,0,0,0,0,0,1,0,1,0
60,7,6,4,35,3.2,0,0,0,0,0,0,0,0,1,0,1,1
60,5,3,5,26.5,2.8,1,0,0,0,0,0,0,1,0,0,1,1
62,9,9,4,39,3.3,1,0,0,0,0,0,0,1,0,0,1,1
61,7,4,3,39,3.9,0,0,0,0,0,1,0,0,0,0,1,1
62,9,7,4,44,3.8,0,0,0,0,0,0,0,0,1,0,1,1
62,1,1,2,38,2.8,1,0,0,1,0,0,0,0,1,0,1,1
60,8,9,3,39,3.6,0,0,0,0,0,0,0,0,1,0,1,1
61,4,2,3,38,2.8,0,0,0,0,0,1,0,0,0,0,1,0
59,5,4,4,46,3,0,0,0,0,0,0,0,0,0,1,1,1
48,6,5,3,40,3.1,1,0,0,0,0,1,0,0,0,0,1,1
62,10,10,5,39,3.3,1,0,0,0,0,0,0,0,1,0,1,1
67,9,7,3,31,2.8,0,0,0,0,0,0,1,0,0,0,1,1
62,8,8,3,37,3.6,0,0,0,0,0,1,0,0,0,0,1,1
62,4,6,4,42,3.7,0,0,0,0,0,0,0,0,0,1,1,1
62,10,8,4,34,3,0,0,0,0,0,0,0,1,0,0,1,1
60,10,10,4,44,3.5,0,0,0,0,0,0,0,0,1,0,1,1
52,8,9,3,45,2.3,0,0,0,0,0,1,0,0,0,0,0,1
48,10,10,3,40,3.5,0,0,0,0,0,1,0,0,0,0,1,1
62,7,9,4,48,3.5,1,0,0,0,0,0,0,0,1,0,1,1
50,9,10,4,42,3.1,0,0,0,0,0,0,0,1,0,0,1,1
61,5,9,3,30.5,2.7,0,0,0,0,0,0,0,0,1,0,0,1
62,3,3,4,37,3.3,0,0,0,0,0,1,0,0,0,0,1,1
62,10,9,4,36,3.6,1,0,0,0,0,0,0,0,0,1,1,1
61,8,9,3,29,3.3,0,0,0,0,0,0,0,1,0,0,1,1
60,4,5,4,42,3,0,0,0,0,0,1,0,0,0,0,1,1
62,8,8,4,38,4,1,0,0,0,0,0,0,0,1,0,1,1
60,10,10,4,37,3.8,1,0,0,0,0,1,0,0,0,0,1,1
47,3,4,3,29,3.1,0,0,0,0,0,0,1,0,0,0,1,0
59,10,10,4,40,3.6,1,0,0,0,0,0,0,0,1,0,1,1
62,4,1,4,47,3,0,0,0,0,0,0,0,0,1,0,1,1
62,10,10,3,36,3.9,1,0,0,0,0,0,0,0,1,0,1,1
61,8,8,3,37,3.1,1,0,0,0,0,0,0,1,0,0,1,1
62,6,7,3,44,3.9,0,0,0,0,0,1,0,0,0,0,1,1
61,8,8,3,38,3.7,1,0,0,0,0,0,0,1,0,0,1,1
61,7,3,4,35.3,2.6,0,0,0,0,0,0,0,1,0,0,1,1
58,4,2,4,33,2.5,0,0,0,0,0,0,0,1,0,0,1,1
67,1,1,4,33,2.5,0,0,0,0,0,0,0,1,0,0,1,1
62,7,7,4,41,3,1,0,0,0,0,0,0,0,1,0,1,1
60,10,10,3,43,3.4,1,0,0,0,0,1,0,0,0,0,1,1
54,6,5,3,41,3.1,1,0,0,0,0,1,0,0,0,0,1,1
62,1,2,4,37,2.9,1,1,0,0,0,1,0,0,0,0,1,1
62,3,2,2,32,2.9,1,0,0,1,0,0,0,0,1,0,1,1
61,9,8,3,41,3,1,0,0,0,0,0,0,1,0,0,1,1
62,6,6,4,39,3.3,0,0,0,0,0,1,0,0,0,0,1,1
59,3,3,3,40,3.7,1,0,0,0,0,0,0,1,0,0,1,0
60,4,3,4,35.5,3.1,0,0,0,0,0,0,1,0,0,0,1,1
57,6,6,3,34,2.8,0,0,0,0,0,0,0,1,0,0,1,1
61,5,5,4,38,3,0,0,0,0,0,0,0,1,0,0,1,1
61,6,9,5,31,3.1,0,0,0,0,0,0,1,0,0,0,1,1
62,1,2,4,38,3.1,0,0,0,0,0,1,0,0,0,0,1,1
61,5,4,2,25,3.3,1,0,1,0,0,0,0,0,1,0,1,0
62,4,3,5,40,3.3,0,0,0,0,0,0,0,1,0,0,1,1
41,6,5,3,31,2.7,0,0,0,0,0,0,0,0,1,0,1,1
64,2,1,4,36,3.2,0,0,0,0,0,0,0,1,0,0,1,1
61,2,1,3,38,3.3,1,1,0,0,0,1,0,0,0,0,1,1
62,9,9,3,38,3.7,1,0,0,0,0,0,0,1,0,0,1,1
65,2,1,4,27,2.7,0,0,0,0,0,0,1,0,0,0,0,0
61,8,8,4,36,3.1,0,0,0,0,0,0,0,1,0,0,1,1
53,5,7,2,35.5,3.6,0,0,0,0,0,1,0,0,0,0,1,1
62,2,3,4,32,3.5,0,0,0,0,0,0,0,1,0,0,1,1
58,3,5,3,42,3.4,0,0,0,0,0,0,0,0,1,0,1,1
58,10,5,4,44,2.9,1,0,0,0,0,0,0,0,0,1,1,1
60,4,5,4,35,3.2,1,0,0,0,0,0,0,0,1,0,1,1
61,4,3,2,31,3.6,1,0,0,0,0,0,0,1,0,0,1,1
62,7,9,4,37,3.4,1,0,0,0,0,0,0,1,0,0,1,1
62,7,8,4,36,3.2,0,0,0,0,0,1,0,0,0,0,1,1
62,7,7,4,34,3.2,1,0,0,0,0,0,1,0,0,0,1,1
61,8,8,4,37,3.1,0,0,0,0,0,0,0,1,0,0,0,1
59,6,5,4,30,3.2,0,0,0,0,0,0,0,1,0,0,1,1
56,8,9,2,48,3.8,1,0,0,0,0,0,0,0,1,0,1,1
61,8,4,4,48,3.4,0,0,0,0,0,0,0,0,0,1,1,1
62,5,5,4,41,3.7,1,1,0,0,0,1,0,0,0,0,1,1
51,1,1,3,27,2.5,0,0,1,0,0,0,0,1,0,0,0,1
58,3,3,2,38,3.3,0,0,1,0,0,1,0,0,0,0,1,1
58,2,2,2,37.5,3.7,1,0,0,0,0,0,0,0,1,0,1,0
61,6,7,3,32,3.4,0,0,0,0,0,0,0,1,0,0,1,1
57,1,1,2,21,3.2,0,0,1,0,0,1,0,0,0,0,0,0
54,7,8,4,38,3.7,1,0,0,0,0,1,0,0,0,0,0,1
62,10,8,4,37,3.1,1,0,0,0,0,0,0,1,0,0,1,1
68,3,2,4,35,3.4,1,0,0,0,1,0,0,0,1,0,1,1
62,10,9,3,34.5,3.9,1,0,0,0,0,1,0,0,0,0,1,1
62,2,2,3,39,3.6,1,0,0,0,0,1,0,0,0,0,1,1
61,10,10,3,37,3.3,0,0,0,0,0,0,0,1,0,0,1,1
59,10,9,2,33,2.1,0,0,0,0,0,0,0,1,0,0,1,1
50,10,10,3,43,4,1,0,0,0,0,1,0,0,0,0,0,1
55,5,6,3,35.5,4,0,0,0,0,1,0,0,0,0,1,1,1
66,3,2,3,36,3.1,0,0,0,1,0,1,0,0,0,0,1,1
62,4,4,4,38,3.7,1,0,0,0,0,1,0,0,0,0,1,1
62,6,5,4,39,3.1,0,0,0,0,0,1,0,0,0,0,1,1
62,2,1,3,37,3.8,1,0,0,0,0,0,0,1,0,0,1,0
56,1,1,1,23.5,2.3,0,0,0,1,0,1,0,0,0,0,1,1
62,6,9,4,36,4,1,0,0,0,0,1,0,0,0,0,1,1
60,9,10,4,44,3.5,1,0,0,0,0,0,0,1,0,0,1,1
59,7,4,4,32.5,2.4,0,0,0,0,0,0,1,0,0,0,1,1
60,1,1,2,29.5,2.6,1,0,1,0,0,1,0,0,0,0,1,1
65,6,7,3,38,3.6,1,0,0,1,0,1,0,0,0,0,1,1
61,4,7,4,31,3.8,0,0,0,0,0,0,0,1,0,0,1,1
62,10,10,4,43,3.4,0,0,0,0,0,0,0,1,0,0,1,1
61,5,5,4,40,3.6,1,0,0,1,0,1,0,0,0,0,1,1
62,6,7,3,39,3.2,1,1,0,0,0,0,0,0,1,0,1,1
61,9,10,5,38,3.8,0,0,0,0,0,1,0,0,0,0,1,1
62,9,9,4,42,4,0,0,0,0,0,1,0,0,0,0,1,1
56,10,9,4,39,3,1,0,0,0,0,0,0,1,0,0,1,1
46,6,6,3,31,3.2,1,0,0,0,0,0,0,1,0,0,1,1
61,9,7,2,27,3.3,1,0,1,0,0,0,0,1,0,0,1,1
53,8,9,4,35,3.4,1,0,0,0,0,1,0,0,0,0,1,1
58,7,7,3,35,3.3,0,0,0,0,0,1,0,0,0,0,1,1
61,1,1,3,24,2.6,1,0,1,0,0,1,0,0,0,0,1,0
54,1,2,3,32,3.5,1,0,0,0,0,1,0,0,0,0,1,0
59,8,7,4,37,2.9,0,0,0,0,0,1,0,0,0,0,1,1
62,4,5,4,38,3.6,0,0,0,0,0,0,0,1,0,0,1,1
61,6,8,3,35,3.7,1,0,0,0,0,1,0,0,0,0,1,1
56,1,1,3,26,2.3,0,0,1,0,0,0,0,1,0,0,0,0
61,2,3,4,28,3.5,1,0,0,0,0,0,0,1,0,0,1,1
59,9,9,3,29,2.7,0,0,0,0,0,0,0,1,0,0,1,1
53,4,3,3,40,3.4,0,0,0,0,0,1,0,0,0,0,1,0
49,10,10,5,37,3.8,1,0,0,0,0,0,0,1,0,0,1,1
59,10,10,3,39,3.5,0,0,0,0,0,1,0,0,0,0,1,1
60,10,9,4,27.5,3,1,0,0,0,0,0,0,1,0,0,1,1
63,9,8,4,43,3.4,0,0,0,0,0,1,0,0,0,0,1,1
60,3,2,3,34,3.6,1,0,0,0,0,0,0,0,1,0,1,1
63,2,1,3,24.7,2.8,0,0,0,1,0,0,0,1,0,0,1,1
61,8,6,5,35,3.3,1,0,0,0,0,1,0,0,0,0,1,1
62,5,7,5,46,3.4,0,0,0,0,0,0,0,0,1,0,1,1
62,9,9,4,32.5,3.7,1,0,0,0,0,1,0,0,0,0,1,1
56,3,3,3,29,2.8,0,0,0,0,0,0,1,0,0,0,1,1
61,9,8,5,42,3.7,0,0,0,0,0,1,0,0,0,0,1,1
59,9,4,4,48,2.7,0,0,0,0,0,0,0,1,0,0,1,1
62,2,3,4,38,3.8,1,0,0,0,0,1,0,0,0,0,1,1
61,5,5,4,38,3.6,0,0,0,0,0,0,0,0,0,1,1,1
59,10,9,4,41,2.9,1,0,0,0,0,1,0,0,0,0,1,1
49,3,3,1,32,2.9,0,0,0,0,0,0,1,0,0,0,1,1
62,8,7,4,34,3.6,1,0,0,0,0,0,0,0,1,0,1,1
68,2,1,4,37,3.5,1,0,1,0,0,0,0,0,1,0,1,1
60,3,3,4,46,3.5,0,0,0,0,0,0,0,0,0,1,1,1
57,2,1,3,37,3.8,0,1,0,0,0,0,0,0,1,0,1,1
62,5,6,4,37,2.8,1,0,0,0,0,1,0,0,0,0,1,1
62,9,9,4,44,4,0,0,0,0,0,0,0,0,0,1,1,1
62,3,4,3,19,3.2,1,0,1,0,0,0,0,1,0,0,1,0
63,9,9,4,33,3.6,1,0,0,0,0,1,0,0,0,0,1,1
61,4,5,4,31.5,3,1,0,0,0,0,0,0,1,0,0,1,1
57,9,9,3,44,3.2,0,0,0,0,0,0,0,1,0,0,1,1
62,9,9,4,37.5,3.4,0,0,0,0,0,0,0,1,0,0,1,1
62,3,3,3,41,3.4,1,0,0,0,0,1,0,0,0,0,1,1
49,5,4,3,32,2.7,0,0,0,0,0,0,0,1,0,0,1,1
57,3,2,2,35,3,0,0,1,0,0,1,0,0,0,0,1,1
62,10,8,3,41,3.8,0,0,0,0,0,0,0,1,0,0,1,1
61,10,10,3,37,3.7,0,0,0,0,0,1,0,0,0,0,1,1
60,5,2,5,30,2.9,0,0,0,0,0,0,1,0,0,0,1,1
62,9,8,4,34,3.5,1,0,0,0,0,0,0,1,0,0,1,1
62,5,6,4,33,3.8,0,0,0,0,0,1,0,0,0,0,1,1
65,4,5,3,30,2.6,0,0,0,0,0,0,1,0,0,0,1,1
62,8,6,5,45.5,3.9,0,0,0,0,0,0,0,0,1,0,1,1
60,2,1,2,38,2.8,0,1,0,0,0,0,0,1,0,0,1,1
61,4,2,3,27.5,3.3,1,0,0,1,0,0,0,0,1,0,1,1
61,10,2,4,37,2.5,1,0,0,0,0,0,0,0,0,1,1,1
62,4,6,4,38,3.4,1,0,0,0,0,0,0,0,1,0,1,1
61,4,4,4,37,2.9,0,0,0,0,0,0,0,0,1,0,1,1
62,3,5,4,31,3.9,1,0,0,0,0,0,0,1,0,0,1,1
61,2,4,4,32,2.8,0,0,0,0,0,0,0,1,0,0,1,1
61,8,6,3,33,3.5,1,0,0,0,0,0,0,1,0,0,1,1
57,5,5,4,38,2.9,1,0,0,0,0,0,0,0,0,1,1,1
57,3,2,3,25.5,3.1,1,0,0,0,0,1,0,0,0,0,1,1
61,4,3,5,37,2.7,0,0,0,0,0,1,0,0,0,0,1,1
56,7,4,3,32.3,3.3,0,0,0,0,0,0,0,1,0,0,1,1
58,4,2,4,34,3.2,0,0,0,0,0,0,0,1,0,0,1,0
62,7,6,1,23,2.6,1,0,1,0,0,0,0,1,0,0,1,1
60,4,7,3,34,3.2,1,0,0,0,0,0,0,0,1,0,1,1
62,3,2,4,31,3.2,1,0,0,1,0,0,0,1,0,0,1,1
61,2,4,4,41,3.2,0,0,0,0,0,1,0,0,0,0,1,1
58,3,3,3,45,3.6,0,0,0,0,0,0,0,0,0,1,1,0
62,2,2,5,32,3.8,1,0,0,0,0,0,0,0,0,1,1,1
62,5,5,3,35.5,3.6,1,0,0,0,0,1,0,0,0,0,1,1
62,9,8,4,32,3,0,0,0,0,0,0,0,1,0,0,1,1
60,3,2,3,35,2.6,0,0,0,0,0,0,0,1,0,0,1,1
58,9,8,4,42,2.8,0,0,0,0,0,0,0,1,0,0,1,1
62,9,10,4,33,2.9,0,0,0,0,0,1,0,0,0,0,1,1
61,7,7,4,42,3.2,1,0,0,0,0,0,0,0,1,0,1,1
66,2,4,3,31,3,1,0,0,0,0,0,0,1,0,0,1,1
61,3,6,4,32,3.4,0,0,0,0,0,0,1,0,0,0,1,1
62,1,3,4,31,3,1,0,0,1,0,0,0,1,0,0,1,1
59,7,8,4,34.5,3.2,0,0,0,0,0,0,1,0,0,0,1,1
56,6,3,3,44,3.9,0,0,0,0,0,0,0,0,0,1,1,1
61,1,1,5,32.5,3.1,0,0,0,0,0,0,0,0,0,1,1,0
61,6,5,4,34,3.7,0,0,0,0,0,0,1,0,0,0,1,1
60,7,6,3,35,3.5,0,0,0,0,0,0,1,0,0,0,1,1
59,6,3,3,37,3.1,1,0,0,0,0,0,0,0,1,0,1,1
61,9,8,3,34,3.6,1,0,0,0,0,1,0,0,0,0,1,1
67,7,5,3,34,3.4,1,0,0,0,0,0,0,0,1,0,1,1
59,10,9,4,32,3.9,1,0,0,0,0,0,0,1,0,0,1,1
55,5,4,2,28,2.6,1,0,1,0,0,0,0,0,0,0,1,1
60,9,7,2,35,3.1,0,0,0,0,0,0,0,0,1,0,0,1
