Account_status...0.DM,Account_status....200.DM,Account_status.0..........200.DM,Duration,Credit_history.all.credits.at.this.bank.paid.back.duly,Credit_history.critical.account...other.credits.existing..not.at.this.bank.,Credit_history.delay.in.paying.off.in.the.past,Credit_history.existing.credits.paid.back.duly.till.now,Purpose.business,Purpose.car..new.,Purpose.car..used.,Purpose.domestic.appliances,Purpose.education,Purpose.furniture...equipment,Purpose.others,Purpose.radio...television,Purpose.repairs,Credit_amount,Savings_bonds...100.DM,Savings_bonds....1000.DM,Savings_bonds.100...........500.DM,Savings_bonds.500..........1000.DM,Present_employment_since...1.year,Present_employment_since....7.years,Present_employment_since.1...........4.years,Present_employment_since.4...........7.years,Installment_rate,Other_debtors_guarantors.co.applicant,Other_debtors_guarantors.guarantor,Resident_since,Property.building.society.savings.agreement...life.insurance,Property.car.or.other,Property.real.estate,Age,Other_installment_plans.bank,Other_installment_plans.none,Housing.rent,Housing.own,Existing_credits,Job.management...self.employed...highly.qualified.employee...officer,Job.skilled.employee...official,Job.unemployed...unskilled....non.resident,People_maintenance_for,Telephone.none,Foreign_worker.no,has.bad.credit.risk,Gender.Female
1,0,0,24,0,0,0,1,0,0,0,0,0,1,0,0,0,4020,1,0,0,0,0,0,1,0,2,0,0,2,0,1,0,27,0,0,0,1,1,0,1,0,1,1,0,0,1
0,0,1,18,0,0,0,1,0,1,0,0,0,0,0,0,0,5866,0,0,1,0,0,0,1,0,2,0,0,2,0,1,0,30,0,1,0,1,2,0,1,0,1,0,0,0,1
0,0,0,48,0,1,0,0,0,0,0,0,1,0,0,0,0,6110,1,0,0,0,0,0,1,0,1,0,0,3,0,0,0,31,1,0,0,0,1,0,1,0,1,0,0,0,1
0,1,0,10,0,0,0,1,0,0,0,1,0,0,0,0,0,1225,1,0,0,0,0,0,1,0,2,0,0,2,0,1,0,37,0,1,0,1,1,0,1,0,1,0,0,0,1
0,0,1,12,0,0,0,1,0,0,0,0,0,0,0,1,0,1158,0,0,0,1,0,0,1,0,3,0,0,1,0,1,0,26,0,1,0,1,1,0,1,0,1,0,0,0,1
0,0,1,18,0,0,1,0,0,0,0,0,0,0,0,0,1,6204,1,0,0,0,0,0,1,0,2,0,0,4,0,0,1,44,0,1,0,1,1,0,0,0,2,0,0,0,1
1,0,0,48,0,1,0,0,0,0,1,0,0,0,0,0,0,6143,1,0,0,0,0,1,0,0,4,0,0,4,0,0,0,58,0,0,0,0,2,0,0,0,1,1,0,1,0
0,0,0,11,0,1,0,0,0,1,0,0,0,0,0,0,0,1393,1,0,0,0,1,0,0,0,4,0,0,4,0,1,0,35,0,1,0,1,2,1,0,0,1,1,0,0,0
0,0,0,36,0,0,0,1,0,0,0,0,0,0,0,1,0,2299,0,0,0,1,0,1,0,0,4,0,0,4,0,1,0,39,0,1,0,1,1,0,1,0,1,1,0,0,1
0,0,0,12,0,0,0,1,0,0,0,0,0,0,0,1,0,1262,1,0,0,0,0,0,1,0,3,0,0,2,0,1,0,25,0,1,0,1,1,0,1,0,1,1,0,0,1
0,0,1,12,0,0,0,1,0,0,0,0,0,0,0,1,0,6468,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,52,0,1,0,1,1,1,0,0,1,0,0,1,1
0,1,0,18,0,0,0,1,0,1,0,0,0,0,0,0,0,1961,1,0,0,0,0,1,0,0,3,0,0,2,0,1,0,23,0,1,0,1,1,1,0,0,1,1,0,0,0
0,0,1,9,0,0,0,1,1,0,0,0,0,0,0,0,0,1391,1,0,0,0,0,0,1,0,2,0,0,1,0,0,1,27,1,0,0,1,1,0,1,0,1,0,0,0,1
0,0,1,15,0,1,0,0,0,0,0,0,0,0,0,1,0,1537,0,0,0,0,0,1,0,0,4,0,1,4,0,0,1,50,0,1,0,1,2,0,1,0,1,0,0,0,1
0,0,1,36,0,0,0,0,1,0,0,0,0,0,0,0,0,1953,1,0,0,0,0,1,0,0,4,0,0,4,0,0,0,61,0,1,0,0,1,1,0,0,1,0,0,1,1
0,0,0,24,0,0,0,1,0,0,0,0,0,0,0,1,0,3181,1,0,0,0,1,0,0,0,4,0,0,4,1,0,0,26,0,1,0,1,1,0,1,0,1,0,0,0,0
0,0,0,27,0,0,0,1,0,0,0,0,0,0,0,0,1,5190,0,0,0,0,0,1,0,0,4,0,0,4,1,0,0,48,0,1,0,1,4,0,1,0,2,0,0,0,1
0,0,0,36,0,0,0,1,0,0,0,0,0,0,0,1,0,2394,0,0,0,0,0,0,1,0,4,0,0,4,0,1,0,25,0,1,0,1,1,0,1,0,1,1,0,0,0
0,0,1,42,0,1,0,0,1,0,0,0,0,0,0,0,0,5954,1,0,0,0,0,0,0,1,2,0,0,1,0,0,1,41,1,0,0,1,2,0,0,0,1,1,0,0,0
1,0,0,42,0,0,0,1,0,0,0,0,0,0,0,1,0,3965,1,0,0,0,1,0,0,0,4,0,0,3,0,1,0,34,0,1,0,1,1,0,1,0,1,1,0,1,1
0,0,1,11,0,0,1,0,0,0,0,0,0,0,0,1,0,4771,1,0,0,0,0,0,0,1,2,0,0,4,1,0,0,51,0,1,0,1,1,0,1,0,1,1,0,0,1
0,0,0,24,0,0,0,1,0,0,0,0,0,0,0,1,0,5943,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,44,0,1,0,1,2,0,1,0,1,0,0,1,0
0,0,0,15,0,0,0,1,0,0,0,0,0,0,0,1,0,1213,0,0,0,1,0,1,0,0,4,0,0,3,1,0,0,47,0,0,0,1,1,0,1,0,1,0,0,0,1
0,0,0,18,0,0,0,1,1,0,0,0,0,0,0,0,0,1568,0,0,1,0,0,0,1,0,3,0,0,4,1,0,0,24,0,1,1,0,1,0,0,0,1,1,0,0,0
1,0,0,24,0,0,0,1,0,0,0,0,0,0,1,0,0,1755,1,0,0,0,0,1,0,0,4,0,1,4,0,0,1,58,0,1,0,1,1,0,0,0,1,0,0,0,0
0,0,0,12,0,1,0,0,1,0,0,0,0,0,0,0,0,1412,1,0,0,0,0,0,1,0,4,0,1,2,0,0,1,29,0,1,0,1,2,1,0,0,1,0,0,0,0
1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,1108,1,0,0,0,0,0,0,1,4,0,0,3,0,0,1,28,0,1,0,1,2,0,1,0,1,1,0,1,1
0,0,1,54,0,0,0,0,1,0,0,0,0,0,0,0,0,15945,1,0,0,0,1,0,0,0,3,0,0,4,0,0,0,58,0,1,1,0,1,0,1,0,1,0,0,1,1
0,0,1,36,0,1,0,0,0,0,0,0,0,0,0,1,0,2337,1,0,0,0,0,1,0,0,4,0,0,4,0,0,1,36,0,1,0,1,1,0,1,0,1,1,0,0,1
0,0,0,18,1,0,0,0,0,1,0,0,0,0,0,0,0,6458,1,0,0,0,0,1,0,0,2,0,0,4,0,0,0,39,1,0,0,1,2,1,0,0,2,0,0,1,1
0,0,1,12,0,0,0,1,0,1,0,0,0,0,0,0,0,6078,1,0,0,0,0,0,0,1,2,0,0,2,0,1,0,32,0,1,0,1,1,0,1,0,1,1,0,0,1
0,1,0,15,0,0,0,1,0,0,0,0,1,0,0,0,0,392,1,0,0,0,1,0,0,0,4,0,0,4,1,0,0,23,0,1,1,0,1,0,1,0,1,0,0,0,0
0,0,0,36,0,1,0,0,0,1,0,0,0,0,0,0,0,7855,1,0,0,0,0,0,1,0,4,0,0,2,0,0,1,25,0,0,0,1,2,0,1,0,1,0,0,1,0
1,0,0,10,0,1,0,0,0,0,0,0,0,1,0,0,0,2132,0,0,0,0,1,0,0,0,2,1,0,3,0,0,1,27,0,1,1,0,2,0,1,0,1,1,1,0,0
0,0,0,24,0,1,0,0,0,0,1,0,0,0,0,0,0,3868,1,0,0,0,0,1,0,0,4,0,0,2,0,1,0,41,0,1,1,0,2,1,0,0,1,0,0,0,0
0,0,1,18,0,0,0,1,0,0,0,0,0,1,0,0,0,1924,0,0,0,0,1,0,0,0,4,0,0,3,0,0,1,27,0,1,1,0,1,0,1,0,1,1,0,1,0
1,0,0,12,0,0,0,1,0,0,0,0,0,0,0,1,0,701,1,0,0,0,0,0,1,0,4,0,0,2,0,0,1,40,0,1,0,1,1,0,0,0,1,1,0,0,1
0,0,1,12,0,0,0,1,0,0,0,0,0,0,0,0,1,639,1,0,0,0,0,0,1,0,4,0,0,2,0,1,0,30,0,1,0,1,1,0,1,0,1,1,0,1,1
0,0,1,12,0,1,0,0,0,0,1,0,0,0,0,0,0,1860,1,0,0,0,0,0,0,0,4,0,0,2,0,1,0,34,0,1,0,1,2,1,0,0,1,0,0,0,1
1,0,0,12,0,1,0,0,0,1,0,0,0,0,0,0,0,3499,1,0,0,0,0,0,1,0,3,1,0,2,0,0,1,29,0,1,0,1,2,0,1,0,1,1,0,1,0
1,0,0,36,0,0,1,0,0,0,0,0,1,0,0,0,0,6887,1,0,0,0,0,0,1,0,4,0,0,3,1,0,0,29,0,0,0,1,1,0,1,0,1,0,0,1,1
0,0,0,18,0,0,0,1,0,0,0,0,0,1,0,0,0,1984,1,0,0,0,0,0,1,0,4,0,0,4,0,0,0,47,1,0,0,0,2,0,1,0,1,1,0,0,1
0,0,1,12,0,0,0,1,0,0,0,0,0,0,0,1,0,766,0,0,0,1,0,0,1,0,4,0,0,3,0,0,1,66,0,1,0,1,1,0,0,0,1,1,0,1,1
0,1,0,12,0,0,0,1,0,0,0,0,0,0,0,1,0,1881,1,0,0,0,0,0,1,0,2,0,0,2,0,1,0,44,0,1,1,0,1,0,0,0,1,0,0,0,0
0,1,0,6,0,0,0,1,0,1,0,0,0,0,0,0,0,709,0,1,0,0,1,0,0,0,2,0,0,2,0,0,1,27,0,1,0,1,1,0,0,1,1,1,1,0,1
0,0,1,36,0,0,0,1,0,0,0,0,0,0,0,1,0,4795,1,0,0,0,1,0,0,0,4,0,0,1,0,0,0,30,0,1,0,1,1,1,0,0,1,0,0,0,0
1,0,0,27,0,0,0,1,0,0,0,0,0,0,0,1,0,3416,1,0,0,0,0,0,1,0,3,0,0,2,0,1,0,27,0,1,0,1,1,1,0,0,1,1,0,0,1
0,0,0,21,0,1,0,0,0,0,0,0,0,1,0,0,0,2288,1,0,0,0,1,0,0,0,4,0,0,4,1,0,0,23,0,1,0,1,1,0,1,0,1,0,0,0,0
0,0,1,48,1,0,0,0,1,0,0,0,0,0,0,0,0,3566,0,0,1,0,0,0,0,1,4,0,0,2,0,1,0,30,0,1,0,1,1,0,1,0,1,1,0,0,1
1,0,0,36,0,1,0,0,0,0,0,0,0,1,0,0,0,5371,1,0,0,0,0,0,1,0,3,0,1,2,1,0,0,28,0,1,0,1,2,0,1,0,1,1,0,0,1
0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,1,0,1924,1,0,0,0,0,0,1,0,1,0,0,4,1,0,0,38,0,1,0,1,1,0,1,0,1,0,1,0,1
0,1,0,36,0,0,0,1,0,0,0,0,0,0,0,1,0,5848,1,0,0,0,0,0,1,0,4,0,0,1,0,1,0,24,0,1,0,1,1,0,1,0,1,1,0,0,1
0,0,1,24,0,1,0,0,0,0,1,0,0,0,0,0,0,7758,0,1,0,0,0,1,0,0,2,0,0,4,0,0,0,29,0,1,1,0,1,0,1,0,1,1,0,0,0
0,0,1,24,0,0,1,0,1,0,0,0,0,0,0,0,0,6967,0,0,1,0,0,0,0,1,4,0,0,4,0,1,0,36,0,1,1,0,1,1,0,0,1,0,0,0,1
1,0,0,12,0,0,0,1,0,0,0,0,0,1,0,0,0,1282,1,0,0,0,0,0,1,0,2,0,0,4,0,1,0,20,0,1,1,0,1,0,1,0,1,1,0,1,0
0,0,0,24,0,1,0,0,0,0,0,0,0,0,0,1,0,2872,0,0,1,0,0,1,0,0,3,0,0,4,0,0,1,36,0,1,0,1,1,0,1,0,2,0,0,0,1
0,0,0,18,0,1,0,0,0,1,0,0,0,0,0,0,0,1055,1,0,0,0,1,0,0,0,4,0,0,1,1,0,0,30,0,1,0,1,2,0,1,0,1,1,0,0,0
0,0,0,15,0,0,0,1,0,0,0,1,0,0,0,0,0,1262,0,0,0,1,0,0,0,1,4,0,0,3,1,0,0,36,0,1,0,1,2,0,1,0,1,0,0,0,1
0,0,1,10,0,0,0,1,0,1,0,0,0,0,0,0,0,7308,1,0,0,0,0,0,0,0,2,0,0,4,0,0,0,70,1,0,0,0,1,1,0,0,1,0,0,0,1
0,0,0,36,0,0,0,1,0,1,0,0,0,0,0,0,0,909,0,0,0,1,0,1,0,0,4,0,0,4,1,0,0,36,0,1,0,1,1,0,1,0,1,1,0,0,1
0,0,0,6,0,0,0,1,0,0,0,0,0,1,0,0,0,2978,0,0,0,1,0,0,1,0,1,0,0,2,0,1,0,32,0,1,0,1,1,0,1,0,1,0,0,0,1
0,0,1,11,0,0,0,1,0,0,0,0,0,1,0,0,0,1577,0,1,0,0,1,0,0,0,4,0,0,1,0,0,1,20,0,1,0,1,1,0,1,0,1,1,0,0,0
0,0,0,24,0,0,0,1,0,0,0,0,0,1,0,0,0,3972,1,0,0,0,0,0,0,1,2,0,0,4,1,0,0,25,0,1,1,0,1,0,1,0,1,0,0,0,0
0,0,1,24,0,1,0,0,1,0,0,0,0,0,0,0,0,1935,1,0,0,0,0,1,0,0,4,0,0,4,0,0,1,31,0,1,0,1,2,0,1,0,1,0,0,1,1
1,0,0,15,0,0,0,0,0,1,0,0,0,0,0,0,0,950,1,0,0,0,0,1,0,0,4,0,0,3,0,1,0,33,0,1,1,0,2,0,1,0,2,1,0,1,1
1,0,0,12,0,0,0,1,0,0,0,0,0,1,0,0,0,2577,1,0,0,0,0,0,1,0,2,0,0,1,0,1,0,42,0,1,0,1,1,0,1,0,1,1,0,0,1
0,0,0,12,0,0,0,1,0,0,0,0,0,0,0,1,0,1963,1,0,0,0,0,0,0,1,4,0,0,2,0,1,0,31,0,1,1,0,2,1,0,0,2,0,0,0,1
1,0,0,21,0,1,0,0,0,1,0,0,0,0,0,0,0,571,1,0,0,0,0,1,0,0,4,0,0,4,0,0,1,65,0,1,0,1,2,0,1,0,1,1,0,0,1
0,0,0,36,0,0,1,0,1,0,0,0,0,0,0,0,0,9572,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,28,0,1,0,1,2,0,1,0,1,1,0,1,1
0,0,1,36,0,0,1,0,1,0,0,0,0,0,0,0,0,4455,1,0,0,0,0,0,1,0,2,0,0,2,0,0,1,30,0,0,0,1,2,1,0,0,1,0,0,1,1
1,0,0,21,1,0,0,0,0,1,0,0,0,0,0,0,0,1647,0,0,0,0,0,0,1,0,4,0,0,2,1,0,0,40,0,1,0,1,2,0,0,0,2,1,0,1,1
0,0,1,18,0,1,0,0,0,1,0,0,0,0,0,0,0,884,1,0,0,0,0,1,0,0,4,0,0,4,0,1,0,36,1,0,0,1,1,0,1,0,2,0,0,1,1
0,0,1,18,0,0,0,0,0,0,0,0,0,1,0,0,0,3244,1,0,0,0,0,0,1,0,1,0,0,4,0,1,0,33,1,0,0,1,2,0,1,0,1,0,0,0,0
0,0,0,24,0,0,0,1,1,0,0,0,0,0,0,0,0,4591,0,1,0,0,0,0,1,0,2,0,0,3,1,0,0,54,0,1,0,1,3,1,0,0,1,0,0,1,1
0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,1,0,2108,1,0,0,0,0,0,0,1,2,0,0,2,0,0,1,29,0,1,1,0,1,0,1,0,1,1,0,0,1
0,0,1,9,0,1,0,0,0,0,0,0,1,0,0,0,0,1501,1,0,0,0,0,1,0,0,2,0,0,3,0,1,0,34,0,1,0,1,2,1,0,0,1,0,0,1,0
0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,1,0,1382,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,28,0,1,0,1,2,0,1,0,1,0,0,0,0
1,0,0,12,0,0,0,1,0,1,0,0,0,0,0,0,0,1168,1,0,0,0,0,0,1,0,4,0,0,3,0,0,1,27,0,1,0,1,1,0,0,0,1,1,0,0,1
0,0,0,27,0,0,1,0,1,0,0,0,0,0,0,0,0,5117,1,0,0,0,0,0,0,1,3,0,0,4,0,1,0,26,0,1,0,1,2,0,1,0,1,1,0,0,1
1,0,0,24,0,0,0,1,1,0,0,0,0,0,0,0,0,6568,1,0,0,0,0,0,1,0,2,0,0,2,0,1,0,21,0,0,0,1,1,0,0,0,1,1,0,0,1
0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,1,0,3074,0,0,0,0,0,0,1,0,1,0,0,2,0,0,1,33,0,1,0,1,2,0,1,0,2,1,0,0,1
1,0,0,27,0,0,0,0,1,0,0,0,0,0,0,0,0,5293,1,0,0,0,0,0,0,0,2,0,0,4,1,0,0,50,0,0,0,1,2,0,1,0,1,0,0,1,1
0,1,0,30,0,0,1,0,1,0,0,0,0,0,0,0,0,1908,1,0,0,0,0,1,0,0,4,0,0,4,0,0,1,66,0,1,0,1,1,1,0,0,1,0,0,1,1
0,0,0,36,0,1,0,0,0,0,0,0,0,0,0,1,0,3342,0,0,0,0,0,1,0,0,4,0,0,2,0,1,0,51,0,1,0,1,1,0,1,0,1,0,0,0,1
0,0,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,932,0,0,0,0,0,0,0,1,1,0,0,3,1,0,0,39,0,1,0,1,2,0,0,0,1,1,0,0,0
0,1,0,36,0,0,0,1,0,0,0,0,0,0,0,1,0,3913,1,0,0,0,0,0,1,0,2,0,0,2,0,0,1,23,0,1,0,1,1,0,1,0,1,0,0,0,1
0,0,0,10,0,0,0,1,0,1,0,0,0,0,0,0,0,1364,1,0,0,0,0,0,1,0,2,0,0,4,0,1,0,64,0,1,0,1,1,0,1,0,1,0,0,0,0
0,0,1,12,0,0,0,1,0,0,0,0,0,0,0,1,0,625,1,0,0,0,1,0,0,0,4,0,1,1,0,0,1,26,1,0,0,1,1,0,0,0,1,1,0,0,1
0,0,0,24,0,0,1,0,1,0,0,0,0,0,0,0,0,2978,0,0,0,0,0,0,1,0,4,0,0,4,0,0,1,32,0,1,0,1,2,0,1,0,2,0,0,0,1
0,0,0,15,0,0,0,1,0,0,1,0,0,0,0,0,0,4657,1,0,0,0,0,0,1,0,3,0,0,2,0,1,0,30,0,1,0,1,1,0,1,0,1,0,0,0,1
0,0,1,48,0,0,0,1,0,0,0,0,0,0,0,1,0,10961,0,1,0,0,0,0,0,1,1,1,0,2,0,0,0,27,1,0,0,1,2,0,1,0,1,0,0,1,1
1,0,0,12,0,0,0,1,0,0,0,0,0,1,0,0,0,7865,1,0,0,0,0,1,0,0,4,0,0,4,0,0,0,53,0,1,0,0,1,1,0,0,1,0,0,1,1
0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,1,0,1478,1,0,0,0,0,0,0,1,4,0,0,2,0,1,0,22,0,1,0,1,1,0,1,0,1,1,0,1,1
0,0,0,9,0,0,0,1,0,1,0,0,0,0,0,0,0,2507,0,0,0,1,0,1,0,0,2,0,0,4,0,0,0,51,0,1,0,0,1,0,0,0,1,1,0,0,1
1,0,0,24,0,0,0,1,0,0,0,0,0,0,0,1,0,1823,1,0,0,0,0,0,0,0,4,0,0,2,0,1,0,30,0,0,0,1,1,1,0,0,2,1,0,1,1
0,0,1,6,0,0,0,1,0,1,0,0,0,0,0,0,0,14555,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,23,0,1,0,1,1,0,0,1,1,0,0,1,1
0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,1,0,1291,1,0,0,0,0,0,1,0,4,0,0,2,1,0,0,35,0,1,0,1,2,0,1,0,1,1,0,0,0
1,0,0,30,0,0,0,1,0,0,0,0,0,0,0,1,0,2522,1,0,0,0,0,1,0,0,1,0,1,3,1,0,0,39,0,1,0,1,1,0,1,0,2,1,0,0,1
1,0,0,48,0,0,0,0,0,0,1,0,0,0,0,0,0,4605,1,0,0,0,0,1,0,0,3,0,0,4,0,0,0,24,0,1,0,0,2,0,1,0,2,1,0,1,1
0,0,0,12,0,1,0,0,1,0,0,0,0,0,0,0,0,1185,1,0,0,0,0,0,1,0,3,0,0,2,0,0,1,27,0,1,0,1,2,0,1,0,1,1,0,0,0
0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,1,0,717,1,0,0,0,0,1,0,0,4,0,0,4,0,0,1,52,0,1,0,1,3,0,1,0,1,1,0,0,1
0,0,0,18,0,0,0,1,0,0,0,0,0,0,0,1,0,433,1,0,0,0,0,0,0,0,3,1,0,4,0,0,1,22,0,1,1,0,1,0,1,0,1,1,0,1,0
1,0,0,6,0,1,0,0,0,1,0,0,0,0,0,0,0,666,0,1,0,0,0,0,0,1,3,0,0,4,0,0,1,39,0,1,0,1,2,0,0,0,1,0,0,0,0
0,0,1,30,0,0,0,1,0,1,0,0,0,0,0,0,0,2150,1,0,0,0,0,0,1,0,4,0,1,2,0,0,0,24,1,0,0,1,1,0,1,0,1,1,0,1,0
0,0,0,24,0,0,1,0,0,0,0,0,0,1,0,0,0,4151,0,0,1,0,0,0,1,0,2,0,0,3,1,0,0,35,0,1,0,1,2,0,1,0,1,1,0,0,1
0,0,1,9,0,0,0,1,0,0,0,0,0,1,0,0,0,2030,0,0,0,0,0,0,0,1,2,0,0,1,0,1,0,24,0,1,0,1,1,0,1,0,1,0,0,0,1
0,0,1,60,0,0,1,0,0,0,0,0,0,0,0,1,0,7418,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,27,0,1,0,1,1,0,0,0,1,1,0,0,1
0,0,0,15,0,0,0,1,0,0,1,0,0,0,0,0,0,3812,0,0,1,0,1,0,0,0,1,0,0,4,0,1,0,23,0,1,0,1,1,0,1,0,1,0,0,0,0
0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,1,0,1154,0,0,1,0,0,0,0,0,4,0,0,4,0,0,1,57,0,1,0,1,3,0,0,0,1,1,0,0,0
1,0,0,12,0,0,0,1,0,0,0,0,0,1,0,0,0,1657,1,0,0,0,0,0,1,0,2,0,0,2,0,0,1,27,0,1,0,1,1,0,1,0,1,1,0,0,1
1,0,0,24,0,0,0,1,0,0,0,0,0,0,0,1,0,1603,1,0,0,0,0,1,0,0,4,0,0,4,0,1,0,55,0,1,0,1,1,0,1,0,1,1,0,0,0
0,0,0,12,0,1,0,0,0,0,0,0,1,0,0,0,0,2748,1,0,0,0,0,1,0,0,2,0,0,4,0,0,0,57,1,0,0,0,3,0,0,0,1,1,0,0,0
0,0,0,10,0,1,0,0,0,1,0,0,0,0,0,0,0,1231,1,0,0,0,0,1,0,0,3,0,0,4,0,0,1,32,0,1,0,1,2,0,0,0,2,1,1,0,1
0,0,0,18,0,0,0,1,0,1,0,0,0,0,0,0,0,2662,0,0,0,0,0,0,0,1,4,0,0,3,1,0,0,32,0,1,0,1,1,0,1,0,1,1,1,0,1
0,0,0,12,0,1,0,0,0,0,0,0,0,1,0,0,0,1402,0,0,0,1,0,0,0,1,3,0,0,4,0,1,0,37,0,1,1,0,1,0,1,0,1,0,0,0,0
0,0,1,48,1,0,0,0,0,1,0,0,0,0,0,0,0,12169,0,0,0,0,0,0,0,0,4,1,0,4,0,0,0,36,0,1,0,0,1,1,0,0,1,0,0,0,1
0,0,1,48,0,0,0,1,0,0,0,0,0,0,0,1,0,3060,1,0,0,0,0,0,0,1,4,0,0,4,0,0,1,28,0,1,0,1,2,0,1,0,1,1,0,1,1
0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,1,0,2697,1,0,0,0,0,0,1,0,1,0,0,2,0,0,1,32,0,1,0,1,1,0,1,0,2,1,0,0,1
0,0,0,18,0,1,0,0,0,0,0,0,0,0,0,1,0,2404,1,0,0,0,0,0,1,0,2,0,0,2,0,1,0,26,0,1,0,1,2,0,1,0,1,1,0,0,0
1,0,0,12,0,0,0,1,0,0,0,0,0,1,0,0,0,1262,0,0,0,0,0,1,0,0,2,0,0,4,1,0,0,49,0,1,0,1,1,0,0,0,1,0,0,0,1
0,0,0,24,0,0,0,1,0,0,0,0,0,0,0,1,0,1901,0,0,1,0,0,0,1,0,4,0,0,4,0,1,0,29,0,1,1,0,1,1,0,0,1,0,0,0,1
0,0,0,15,0,1,0,0,0,0,1,0,0,0,0,0,0,3368,0,1,0,0,0,1,0,0,3,0,0,4,0,0,0,23,0,1,1,0,2,0,1,0,1,0,0,0,1
0,0,0,12,0,0,0,1,0,0,0,0,0,1,0,0,0,1574,1,0,0,0,0,0,1,0,4,0,0,2,0,0,1,50,0,1,0,1,1,0,1,0,1,1,0,0,1
